Experiment_Index,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2
0,0.04505518,0.04596229,0.04295945,0.042780116,0.3771717,0.42222688,0.123766884,0.16972917,0.37697813,0.41993758,0.12603158,0.1688117
1,0.04648763,0.05070658,0.04129967,0.044243857,0.38107997,0.4275676,0.12672625,0.17743284,0.3806165,0.42191616,0.12771434,0.1719582
2,0.0541375,0.047737673,0.04080403,0.043547273,0.36795053,0.42208803,0.12308495,0.17082262,0.38072473,0.42152876,0.1262805,0.16982777
3,0.04879272,0.0479953,0.043875545,0.043906257,0.38170677,0.4304995,0.12917812,0.17717342,0.38308185,0.4269574,0.12969808,0.17360434
4,0.04788816,0.04867407,0.041582316,0.04366386,0.37301505,0.4209032,0.11978965,0.16846372,0.38226464,0.42384696,0.12888923,0.17255309
5,0.047374874,0.049999245,0.0426282,0.04310917,0.37227482,0.4196497,0.12032109,0.17032033,0.37614682,0.41877502,0.124731414,0.16784059
6,0.04782915,0.04913111,0.042238146,0.042870134,0.3767359,0.42456505,0.12446654,0.17359765,0.38115934,0.42339748,0.12847343,0.17134356
7,0.06231451,0.06270487,0.047531962,0.04983428,0.3660387,0.42835322,0.11524283,0.1779477,0.37127247,0.41880444,0.12021822,0.1700525
8,0.042289943,0.042861193,0.041047722,0.04206437,0.38073605,0.423026,0.13062055,0.17348175,0.38114467,0.4221924,0.12898163,0.171046
9,0.038085222,0.04272209,0.042147875,0.04399898,0.37697205,0.41505727,0.12549336,0.16821545,0.37414923,0.4162971,0.1221462,0.16614518
