Experiment_Index,train_time,refined_time,bias,refined_bias,bias_1,bias_2,refined_bias_1,refined_bias_2,acceptance_rate
0,00:35:57,00:03:27,0.0029816008,0.002596309,0.000184834,0.0029758662,0.0006096363,0.0025237203,0.012
1,00:35:30,00:03:26,0.0035611233,0.0031793665,0.0034340918,0.00094266236,0.003032416,0.00095541775,0.01
2,00:36:01,00:03:27,0.0037745787,0.0021805211,0.002074629,0.0031533092,0.0021768808,0.00012594461,0.004
3,00:35:59,00:03:24,0.005633779,0.0064428854,0.0055430233,0.0010071546,0.0059544146,0.0024608374,0.006
4,00:35:46,00:03:24,0.004357863,0.003430297,0.0021606386,0.0037845224,0.0033468604,0.0007519722,0.004
5,00:36:53,00:03:22,0.0066570467,0.0028656868,0.004492134,0.0049129426,0.0014400184,0.0024776012,0.004
6,00:36:31,00:03:23,0.0016761193,0.0029742052,0.00055885315,0.0015802085,0.0029400885,0.0004491955,0.006
7,00:37:28,00:03:20,0.0031122824,0.0033842253,0.0019340813,0.0024383664,0.0018793344,0.002814442,0.008
8,00:36:06,00:03:25,0.0015318668,0.0016652256,0.0011108816,0.0010547787,0.0015564561,0.00059196353,0.01
9,00:35:12,00:03:25,0.007852451,0.0033744096,0.005673468,0.0054288805,0.001722604,0.0029015988,0.008
