Experiment_Index,runtime,accpt_rate,bias,bias_1,bias_2,ci_length_1,ci_length_2,low_1,high_1,low_2,high_2
0,00:06:37,0.001226,0.028697545,0.020900428,0.019665226,0.11001074,0.11358901,0.35729212,0.46730286,0.09811019,0.2116992
1,00:05:13,0.001042,0.0016957253,0.00020870566,0.0016828328,0.08843315,0.064473525,0.36684892,0.45528206,0.118430644,0.18290417
2,00:04:27,0.001402,0.016693756,0.012521595,0.011040434,0.08474469,0.08875504,0.33999816,0.42474285,0.089816645,0.17857169
3,00:04:16,0.000396,0.0056186193,0.004745275,0.0030085295,0.044998527,0.05496476,0.38160062,0.42659914,0.12014852,0.17511328
4,00:04:22,0.001204,0.007559453,0.0075368583,0.0005840361,0.06800771,0.0655541,0.3604811,0.42848882,0.11549565,0.18104975
5,00:04:56,0.001206,0.009260717,0.0029913187,0.008764297,0.058286667,0.067571156,0.37352985,0.43181652,0.10352398,0.17109513
6,00:04:57,0.001006,0.005773928,0.005613476,0.0013517141,0.077200234,0.069908306,0.3630275,0.44022775,0.11082092,0.18072923
7,00:03:54,0.001278,0.013652152,0.013303578,0.003065303,0.08188498,0.06355879,0.37118936,0.45307434,0.117945746,0.18150453
8,00:04:09,0.001814,0.009169681,0.0091609955,0.0003990233,0.0800764,0.08335168,0.3638065,0.44388288,0.102150105,0.18550178
9,00:04:42,0.001008,0.009805035,0.0094974935,0.002436459,0.08402833,0.066710845,0.37165025,0.45567858,0.1132669,0.17997774
