Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:05:57,00:03:15,0.03277625,0.021441609,0.13404872
2,00:05:18,00:03:10,0.05185911,0.019299597,0.20920058
3,00:05:32,00:03:12,0.032538295,0.024727628,0.11951576
4,00:05:33,00:03:12,0.032508567,0.010276586,0.19726361
5,00:03:26,00:03:06,0.04901679,0.024183527,0.15632665
6,00:03:41,00:03:11,0.047604784,0.01594463,0.1725874
7,00:03:38,00:03:10,0.06179586,0.025271863,0.13047852
8,00:05:21,00:03:07,0.022596642,0.013908997,0.16426075
9,00:03:55,00:03:08,0.03743452,0.0151117,0.16689399
10,00:04:15,00:03:05,0.022383302,0.012179196,0.13292837
