Experiment_Index,server,train_time,refined_time,accp_rate,bias,refined_bias
0,HPC3,00:26:10,00:13:19,0.038,0.120816424,0.0113633005
1,HPC3,00:25:51,00:13:17,0.056,0.17636359,0.020031052
2,HPC3,00:27:10,00:13:23,0.046,0.3008811,0.12011409
3,HPC3,00:26:32,00:15:57,0.072,0.12612768,0.0018529146
4,HPC3,00:26:00,00:13:24,0.022,0.08836346,0.014934298
5,HPC3,00:26:29,00:13:15,0.03,0.21872142,0.0036111677
6,HPC3,00:25:49,00:13:23,0.032,0.15330227,0.0053241
7,HPC3,00:27:25,00:15:19,0.044,0.17700487,0.009126594
8,HPC3,00:25:37,00:15:47,0.03,0.16678695,0.008115823
9,HPC3,00:26:04,00:13:14,0.052,0.13321747,0.0071104555
