Experiment_Index,ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_3,high_Y0_3,low_Y0_4,high_Y0_4,low_Y0_refined_1,high_Y0_refined_1,low_Y0_refined_2,high_Y0_refined_2,low_Y0_refined_3,high_Y0_refined_3,low_Y0_refined_4,high_Y0_refined_4
0,0.20576072,0.18629646,0.19884795,0.2895732,0.13112527,0.18194437,0.07514292,0.17122746,-0.07808128,0.12767944,-4.6778474,-4.491551,-0.8403853,-0.64153737,-4.931261,-4.641688,-0.06993376,0.061191514,-4.7042065,-4.522262,-0.72971475,-0.65457183,-4.6924586,-4.521231
1,0.15210938,0.3020978,0.25397563,0.29195976,0.13535112,0.1697979,0.18079954,0.14652872,-0.116650045,0.03545934,-4.774217,-4.4721193,-0.8663291,-0.61235344,-4.7935143,-4.5015545,-0.08059171,0.054759413,-4.7071195,-4.5373216,-0.84787095,-0.6670714,-4.683689,-4.5371604
2,0.18309355,0.18730783,0.16423142,0.25451756,0.19678058,0.25080156,0.11108869,0.27884483,-0.03761699,0.14547655,-4.55392,-4.366612,-0.84672207,-0.68249065,-4.6978264,-4.443309,-0.08939849,0.10738209,-4.71589,-4.4650884,-0.7510212,-0.6399325,-4.750026,-4.4711814
3,0.36089945,0.5470867,0.27174366,0.5377984,0.2991901,0.40556908,0.296466,0.666204,-0.11237264,0.24852681,-5.115587,-4.5685005,-0.9296328,-0.6578891,-4.909011,-4.3712125,-0.12433694,0.17485318,-4.8966994,-4.4911304,-0.9277457,-0.6312797,-4.9724174,-4.3062134
4,0.14032316,0.20141411,0.19595456,0.21554613,0.14747134,0.1481762,0.062518656,0.19940042,-0.10042338,0.03989978,-4.7584195,-4.5570054,-0.81501657,-0.619062,-4.703074,-4.487528,-0.06259072,0.08488063,-4.6628914,-4.514715,-0.72569287,-0.6631742,-4.7122064,-4.512806
5,0.2088911,0.2474041,0.24970138,0.23656368,0.22062685,0.23033762,0.20949364,0.28597784,-0.1519467,0.056944404,-4.5847454,-4.3373413,-0.9019077,-0.6522063,-4.7052445,-4.468681,-0.11651412,0.10411273,-4.7185483,-4.4882107,-0.8562151,-0.6467215,-4.7469573,-4.4609795
6,0.3236796,0.21177816,0.23255664,0.44787788,0.3566457,0.304111,0.15785992,0.5404248,-0.4009959,-0.077316314,-4.8570766,-4.6452985,-0.77244055,-0.5398839,-4.839094,-4.3912163,-0.22869995,0.12794577,-4.7882276,-4.4841166,-0.762273,-0.6044131,-4.8959427,-4.355518
7,0.19251275,0.26174784,0.18769372,0.31595325,0.19217277,0.22201824,0.083152115,0.29772472,-0.14809686,0.04441589,-4.7358136,-4.474066,-0.8236638,-0.63597006,-4.773816,-4.457863,-0.104894035,0.08727872,-4.710046,-4.4880276,-0.73655605,-0.65340394,-4.773428,-4.4757032
8,0.16993654,0.26260662,0.20355606,0.17265129,0.15071711,0.23186207,0.07755858,0.2307992,-0.022183418,0.14775312,-4.8251553,-4.5625486,-0.8103629,-0.6068068,-4.6299744,-4.457323,-0.07892477,0.07179235,-4.750105,-4.518243,-0.72052306,-0.6429645,-4.7277117,-4.4969125
9,0.2204051,0.23563337,0.1954186,0.2755289,0.13003775,0.14462757,0.049096286,0.14207983,-0.101708174,0.11869693,-4.812875,-4.5772414,-0.82175636,-0.62633777,-4.6871896,-4.4116607,-0.06833847,0.061699294,-4.676,-4.5313725,-0.71613264,-0.66703635,-4.673365,-4.5312853
