Experiment_Index,interval_length_theta1,interval_length_theta2,interval_length_theta3,interval_length_theta4,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_3,high_Y0_3,low_Y0_4,high_Y0_4
0,2.719442920324136,5.4214063771782,4.929147924971346,6.483479502167619,-0.7412280788438563,1.9782148414802796,-4.935902160608761,0.48550421656943854,-3.0502062398100565,1.8789416851612897,-4.921009954552166,1.5624695476154526
1,2.80439813356244,4.200712304687736,5.346113877181792,6.436314303718983,-0.8337807654098945,1.9706173681525456,-4.94173228818259,-0.7410199834948541,-3.447775089476699,1.898338787705093,-4.916674469976355,1.5196398337426276
2,2.9273797755957425,3.9462391381075212,5.531282228990401,6.2743189938006685,-0.9600499063258239,1.9673298692699186,-4.935945687174478,-0.9897065490669563,-3.6549576963698667,1.8763245326205338,-4.892133745783076,1.382185248017593
3,2.9243343558177877,3.919144358134015,5.381561835782504,6.285358128229567,-0.95763071420809,1.9667036416096977,-4.938800035845192,-1.0196556777111772,-3.5125339835115774,1.8690278522709267,-4.895490158628086,1.3898679696014806
4,2.914443855591368,4.741342824159644,5.386001818120832,6.3697458559481435,-0.9421943041920429,1.972249551399325,-4.944679812973469,-0.20333698881382478,-3.4920312148047494,1.8939706033160828,-4.897804712217993,1.4719411437301506
5,3.1103984033969327,3.3574325553674607,5.452286403413272,6.209131519891348,-1.1419562413466728,1.96844216205026,-4.932005742041179,-1.5745731866737183,-3.555234767672582,1.8970516357406897,-4.8887871587052345,1.3203443611861134
6,2.715393249569898,4.836901353762172,4.859734733898735,6.561421211137709,-0.7369280469724275,1.9784652025974703,-4.932456292790637,-0.09555493902846557,-2.977085739554175,1.8826489943445601,-4.917047546275942,1.6443736648617673
7,2.7240737459153213,4.772079089769418,5.017757985131157,6.4619004378837035,-0.7494456922639872,1.974628053651334,-4.934234454661315,-0.16215536489189653,-3.166789568251532,1.850968416879624,-4.917647295713701,1.5442531421700023
8,2.7660057985401236,4.90091900354662,5.177078014214054,6.356697604648943,-0.7954501422425437,1.97055565629758,-4.92905734874773,-0.028138345201109694,-3.298909624818652,1.8781683893954018,-4.924145346966014,1.4325522576829286
9,3.3233151405559402,3.2309462027355433,5.612883909668527,6.222545879712584,-1.3575625177148671,1.965752622841073,-4.936595816666461,-1.7056496139309179,-3.7480358231997273,1.8648480864688004,-4.912921112176621,1.3096247675359631
